"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"FCX","Freeport-McMoRan Inc.","Materials","1040.0"
"FDX","FedEx Corporation","Industrials","282.4"
"FE","FirstEnergy Corp","Utilities","422.5"
"FFIV","F5 Networks","Information Technology","71.0"
"FIS","Fidelity Nat. Info. Services","Information Technology","281.6"
"FISV","Fiserv Inc","Information Technology","235.2"
"FITB","Fifth Third Bancorp","Financials","810.1"
"FLIR","FLIR Systems","Industrials","140.2"
"FLR","Fluor Corp.","Industrials","145.4"
"FLS","Flowserve Corporation","Industrials","132.6"
"FMC","FMC Corporation","Materials","133.6"
"FOSL","Fossil, Inc.","Consumer Discretionary","48.3"
"FOX","Twenty-First Century Fox Class B","Consumer Discretionary","2038.5"
"FOXA","Twenty-First Century Fox Class A","Consumer Discretionary","2038.5"
"FSLR","First Solar Inc","Information Technology","100.9"
"FTI","FMC Technologies Inc.","Energy","229.8"
"FTR","Frontier Communications","TelecommunicationsServices","1168.3"
"GAS","AGL Resources Inc.","Utilities","120.1"
"GD","General Dynamics","Industrials","322.7"
"GE","General Electric","Industrials","10096.4"
"GGP","General Growth Properties","Financials","885.6"
"GILD","Gilead Sciences","Health Care","1473.0"
"GIS","General Mills Inc.","Consumer Staples","599.2"
"GLW","Corning Inc.","Industrials","1231.0"
"GM","General Motors","Consumer Discretionary","1580.0"
"GMCR","Keurig Green Mountain","Consumer Staples","154.0"
"GME","GameStop Corp.","Consumer Discretionary","105.9"
"GNW","Genworth Financial Inc.","Financials","497.4"
"GOOG","Google Inc. Class C","Information Technology","685.5"
"GOOGL","Google Inc. Class A","Information Technology","685.5"
"GPC","Genuine Parts","Consumer Discretionary","151.7"
"GPS","Gap Inc.","Consumer Discretionary","410.0"
"GRMN","Garmin Ltd.","Consumer Discretionary","499.3"
"GS","Goldman Sachs Group","Financials","451.5"
"GT","Goodyear Tire & Rubber","Consumer Discretionary","269.0"
"GWW","W. W. Grainger, Inc.","Industrials","66.0"
"HAL","Halliburton Co.","Energy","854.8"
"HAR","Harman Int'l Industries","Consumer Discretionary","71.2"
"HAS","Hasbro Inc.","Consumer Discretionary","124.9"
"HBAN","Huntington Bancshares","Financials","803.1"
"HBI","Hanesbrands Inc","Consumer Discretionary","402.5"
"HCA","HCA Inc.","Health Care","416.3"
"HCBK","Hudson City Bancorp","Financials","529.5"
"HCN","Health Care REIT, Inc.","Financials","351.6"
"HCP","HCP Inc.","Financials","462.5"
"HD","Home Depot","Consumer Discretionary","1284.0"
"HES","Hess Corporation","Energy","287.1"
"HIG","Hartford Financial Services","Financials","416.3"
"HOG","Harley-Davidson","Consumer Discretionary","206.0"
"HON","Honeywell Int'l Inc.","Industrials","781.8"
"HOT","Starwood Hotels & Res","Consumer Discretionary","170.6"
"HP","Helmerich & Payne","Energy","462.5"
"HPQ","Hewlett-Packard Co","Information Technology","1801.0"
"HRB","H&R Block, Inc.","Financials","276.4"
"HRL","Hormel Foods Corp.","Consumer Staples","507.0"
"HRS","Harris Corp.","Information Technology","123.7"
"HSIC","Schein Henry Inc","Health Care","83.7"
"HST","Host Hotels & Resorts","Financials","749.9"
"HSY","The Hershey Company","Consumer Staples","219.4"
"HUM","Humana Inc.","Health Care","148.1"
"IBM","IBM Corp.","Information Technology","979.5"
"ICE","Intercontinental Exchange","Financials","111.0"
"IFF","Intl Flavors & Fragrances","Materials","80.7"
"INTC","Intel Corp.","Information Technology","4753.0"
"INTU","Intuit Inc.","Information Technology","277.7"
"IP","International Paper Co.","Materials","417.7"
"IPG","Interpublic Group","Consumer Discretionary","410.4"
"IR","Ingersoll-Rand PLC","Industrials","265.4"
"IRM","Iron Mountain Inc.","Industrials","210.8"
"ISRG","Intuitive Surgical Inc.","Health Care","191.0"
"ITW","Illinois Tool Works","Industrials","366.1"
"IVZ","Invesco Ltd.","Financials","428.7"
"JBHT","Hunt (J.B.) Transport Serv.","Industrials","116.3"
